week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug
"LDZ, BE",11.97,7.49,9.14,10.31,8.11,6.49,7.49,6.64,7.45,8.31,7.91,7.89,7.79,7.97,9.21
"LDZ, GB",70.31,48.63,59.41,66.12,54.22,47.56,48.37,44.73,48.19,49.36,49.56,50.36,50.23,52.97,57.27
"LDZ, NL",16.67,11.16,13.32,14.95,12.38,9.75,11.79,10.93,11.7,12.96,12.71,12.56,12.39,12.69,13.56
"LDZ, FR",23.83,15.64,18.54,19.1,15.94,13.5,15.02,13.6,13.39,16.01,17.19,17.0,16.96,17.13,19.46
"LDZ, IT",36.96,31.98,30.32,32.32,30.8,29.11,29.08,29.08,28.15,28.84,28.39,29.89,28.2,27.51,29.31
"LDZ, DE",37.47,19.48,26.38,30.93,20.61,13.91,16.97,16.78,16.23,23.3,18.34,18.97,17.74,18.63,21.77
"LDZ, AT",15.98,12.78,12.74,13.36,12.08,12.68,13.42,12.78,12.74,14.54,12.89,13.2,12.7,12.74,13.16
"LDZ, ES",5.57,4.34,4.55,4.39,4.23,3.98,3.72,3.82,3.91,3.91,3.83,3.7,3.64,3.62,3.68
LDZ Total,218.76,151.5,174.4,191.48,158.37,136.98,145.86,138.36,141.76,157.23,150.82,153.57,149.65,153.26,167.42
"Ind, BE",9.88,9.34,9.6,9.36,9.65,8.92,9.39,9.38,9.21,9.53,9.08,9.4,9.75,9.78,9.51
"Ind, GB",2.32,2.41,2.28,2.09,2.09,2.99,2.41,2.3,2.49,2.04,2.18,2.24,2.39,2.07,2.29
"Ind, NL",21.74,19.0,19.84,19.64,18.52,17.81,18.9,18.86,18.89,19.37,19.46,19.25,18.92,19.72,20.53
"Ind, AT",9.64,8.74,7.9,7.85,7.6,8.64,9.06,8.81,9.63,9.57,8.5,8.24,8.45,9.25,9.59
"Ind, FR",20.86,18.88,19.08,19.59,19.28,18.02,19.01,19.25,19.4,19.36,17.75,16.77,16.56,18.03,19.75
"Ind, IT",30.97,29.51,28.18,30.52,29.88,28.79,28.82,29.1,30.99,31.16,29.27,23.15,16.47,19.58,26.99
"Ind, ES",40.21,39.11,39.01,38.62,39.02,37.89,36.7,38.28,41.15,38.71,37.22,35.39,33.24,34.67,37.2
"Ind, DE",104.48,93.9,92.88,97.91,98.06,93.2,91.46,87.41,98.02,96.31,92.41,93.34,93.28,93.85,100.73
Industrial Total,240.1,220.89,218.77,225.58,224.1,216.26,215.75,213.39,229.78,226.05,215.87,207.78,199.06,206.95,226.59
"GFP, AT",0.61,0.39,0.18,0.25,0.36,1.01,1.34,0.31,0.66,0.54,0.55,0.44,0.44,0.46,0.46
"GFP, BE",6.29,6.91,5.35,4.64,9.27,11.7,8.94,7.96,11.38,9.54,9.19,9.07,8.97,8.96,9.04
"GFP, ES",19.87,23.57,20.23,16.9,29.01,35.18,25.86,35.79,38.08,31.32,25.59,23.82,24.05,26.02,23.64
"GFP, FR",0.19,1.21,0.54,0.11,3.76,12.54,6.45,7.12,9.04,2.32,2.47,2.37,2.32,2.26,2.3
"GFP, IT",33.6,41.55,33.49,34.84,56.29,80.67,72.01,73.54,76.6,64.91,63.79,53.82,54.23,59.62,57.08
"GFP, NL",15.18,15.48,11.17,9.03,18.39,18.89,13.97,15.85,15.97,10.76,10.4,10.18,10.74,10.77,11.27
"GFP, UK",24.36,26.93,21.97,21.42,32.65,41.83,28.13,31.95,34.87,39.04,37.09,34.74,36.18,36.67,37.44
GFP Total,100.1,116.04,92.93,87.19,149.73,201.82,156.7,172.52,186.6,158.43,149.08,134.44,136.93,144.76,141.23
NO pipeline flow,237.29,264.96,274.18,274.92,272.59,309.26,309.26,296.21,286.73,295.38,292.53,283.25,286.06,289.31,292.97
East pipeline flow,-34.58,-37.55,-35.69,-36.23,-36.65,-34.75,-35.23,-35.09,-39.7,-47.49,-48.22,-49.23,-49.51,-49.71,-49.81
South pipeline flow,96.58,93.93,80.78,81.39,78.97,73.56,73.17,72.0,68.4,68.94,68.27,67.51,67.39,67.46,67.73
Regas/LNG,276.08,286.67,250.98,269.89,268.63,255.12,216.5,230.26,222.46,231.26,231.45,216.68,221.88,226.07,229.56
Local production,108.79,108.71,109.29,113.22,113.37,110.23,113.01,109.94,103.64,102.32,99.15,91.27,91.82,92.56,93.48
"Injection, AT",16.62,29.64,21.06,24.73,25.74,23.4,19.18,19.46,,,,,,,
"Injection, BE",-1.55,1.08,0.11,0.4,-0.44,0.74,1.75,1.71,,,,,,,
"Injection, DE",46.28,85.8,73.25,64.01,62.23,79.57,49.54,34.49,,,,,,,
"Injection, ES",8.69,7.28,8.3,6.57,0.95,0.2,-1.72,-3.09,,,,,,,
"Injection, FR",24.49,43.39,25.59,31.03,38.42,20.81,17.4,11.89,,,,,,,
"Injection, GB",-10.14,2.31,1.63,-7.27,-6.99,6.79,16.72,-5.78,,,,,,,
"Injection, IT",51.09,54.57,57.09,60.74,53.75,40.25,50.01,46.03,,,,,,,
"Injection, NL",25.98,33.98,49.91,57.29,32.69,30.62,44.21,49.32,,,,,,,
Inject Total,161.46,258.05,236.94,237.5,206.35,202.38,197.09,154.03,,,,,,,
